# Exact truth-map state table; state order: surface -> aerosol -> SIF -> XCO2
# AOD550 ratio sulfate:organic_carbon:stratospheric_sulfate = 8:1.8:0.2; total AOD760 = 0.28
# SIF_total units: mW m^-2 sr^-1 integrated in wavelength; SIF760 is per cm^-1
# index surface_index surface aerosol_index aerosol_case sif_index sif_case xco2_index xco2_ppm psurf_hpa sza_deg vza_deg sulfate_aod550 organic_aod550 stratospheric_aod550 sif_total SIF760 mSIF o2a_P0 o2a_P1 o2a_P2 weak_P0 weak_P1 weak_P2 strong_P0 strong_P1 strong_P2
051 4 forest 1 none 1 off 3 420 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
052 4 forest 1 none 1 off 4 440 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
053 4 forest 1 none 2 total_0p5 1 380 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
054 4 forest 1 none 2 total_0p5 2 400 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
055 4 forest 1 none 2 total_0p5 3 420 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
056 4 forest 1 none 2 total_0p5 4 440 1000.0 30.0 0.0 0.00000000 0.00000000 0.00000000 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
057 4 forest 2 aod760_0p28 1 off 1 380 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
058 4 forest 2 aod760_0p28 1 off 2 400 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
059 4 forest 2 aod760_0p28 1 off 3 420 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
060 4 forest 2 aod760_0p28 1 off 4 440 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 0.00000000e+00 0.000000000000e+00 0.000000000000e+00 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
061 4 forest 2 aod760_0p28 2 total_0p5 1 380 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
062 4 forest 2 aod760_0p28 2 total_0p5 2 400 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
063 4 forest 2 aod760_0p28 2 total_0p5 3 420 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
064 4 forest 2 aod760_0p28 2 total_0p5 4 440 1000.0 30.0 0.0 0.36650528 0.08246369 0.00916263 5.00000000e-01 2.990729894664e-04 7.997518270011e-07 4.682630263673e-01 -3.395734379890e-03 -9.477610409607e-04 2.557722421504e-01 -8.976038364694e-03 -5.051202091652e-04 1.100470188428e-01 -7.300987656445e-03 1.377656166909e-04
